item_details,outletcode,shop_name
Normal Rice | Type: Normal rice | Size of units: 1 | Unit of Measure: Kg | Material: Loose | Last Price: Jan_2025 Price: 5,0091,Afaas Mart
Basmathi Rice | Type: Basmathi Rice (Yellow) | Size of units: 1 | Unit of Measure:Kg | Material: Packet | Brand: Maharani | Made in India | Last Price: Jan_2025 Price: 45,0091,Afaas Mart
Wheat Flour | Type: Normal Wheat flour | Size of units: 1 | Unit of Measure: kg | Material: loose | Last Price: Jan_2025 Price: 4,0091,Afaas Mart
Whole Wheat Flour | Type: Chakki Atta | Size of units: 1 | Unit of Measure: Kg | Material: Red packet | Brand: Al Bakers | Made in UAE | Last Price: Jan_2025 Price: 36,0091,Afaas Mart
Bread (Sliced/ Loaf) | Type: Normal | Size of units: Big | Unit of Measure: | Material: blue packaging | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 25,0091,Afaas Mart
Buns | Type: Buns | Size of units: 10 | Unit of Measure: Buns | Material: Packet | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 12,0091,Afaas Mart
Frozen Parata | Type: Plain parata | Size of units: 5 | Unit of Measure: Piece | Material: packet | Other Specification: Green | Brand: Kawan | Made in | Last Price: Dec_2024 Price: 43,0091,Afaas Mart
Cream crackers | Type: Cream crackers | Size of units:200 | Unit of Measure: g | Material: packet | Other Specification: blue | Brand: Navigable | Made in | Last Price: Jan_2025 Price: 16,0091,Afaas Mart
Marie Biscuits | Type: Marie biscuits | Size of units: 400 | Unit of Measure: g | Material: packet | Brand: CBL Munchee | Made in | Last Price: Jan_2025 Price: 36,0091,Afaas Mart
Other Crackers | Type: Milk Biscuits | Size of units: 200 | Unit of Measure:g | Material: Blue packet | Other Specification: | Brand: CBL Munchee | Made in | Last Price: Dec_2024 Price: 15,0091,Afaas Mart
"Hard buns, Faaroshi, Hikki banas (N) | Type: Faaroshi | Size of units: Small | Unit of Measure: | Material: | Brand: Alcyon | Made in | Last Price: Jan_2025 Price: 15",0091,Afaas Mart
Packet Cakes | Type: Pandan Cakes | Size of units: 18 | Unit of Measure: gram | Material: Green cake drwn packaging | Brand: Apollo cake | Made in | Last Price: Jan_2025 Price: 2.5,0091,Afaas Mart
Corn flakes | Type: Real Almond Honey | Size of units: 300 | Unit of Measure: g | Material: Box | Brand: Kelloggs | Made in US | Last Price: Jan_2025 Price: 80,0091,Afaas Mart
