rowcode	Price1	Price2	Price3
17110100	26.0	26.0	26.0
17155100	33.0	0.0	0.0
17210100	30.0	30.0	30.0
17342100	48.0	48.0	48.0
17510100	0.0	127.0	127.0
17511100	265.0	265.0	265.0
17610100	65.0	65.0	65.0
17637100	28.01	28.01	28.01
17710100	60.0	45.0	45.0
17910100	7.5	7.5	7.5
18010100	6.0	6.0	6.0
18110100	22.0	22.0	22.0
18510100	48.0	48.0	48.0
18710100	2.75	2.75	2.75
18711100	2.75	2.75	2.75
18810100	12.0	12.0	12.0
18910100	30.0	30.0	30.0
19010100	85.0	85.0	85.0
19110100	60.0	60.0	60.0
19251100	26.0	26.0	26.0
19258100	5.0	5.0	5.0
19510100	1.0	1.0	1.0
19610100	58.0	58.0	58.0
19635100	32.0	32.0	32.0
24022100	759.0	759.0	759.0
24317100	1030.0	1030.0	1030.0
24616100	340.0	340.0	340.0
24821100	35.0	35.0	35.0
24918100	26.0	26.0	26.0
25137100	46.0	46.0	46.0
25228100	0.0	26.0	26.0
25340100	38.0	38.0	38.0
25410100	0.0	55.0	55.0
25533100	13.0	13.0	13.0
25610100	25.01	25.01	25.01
25733100	35.0	0.0	0.0
25828100	85.0	85.0	85.0
26013100	7.0	7.0	7.0
27013100	12.0	12.0	12.0
27124100	45.0	45.0	45.0
30119100	140.0	140.0	140.0
33337100	75.0	75.0	75.0
33441100	16.0	15.0	15.0
33442100	0.0	53.0	53.0
33529100	15.0	0.0	0.0
33640100	310.0	310.0	310.0
33650100	100.0	100.0	100.0
33739100	36.0	36.0	36.0
33810100	36.0	0.0	0.0
33837100	35.0	35.0	35.0
33949100	20.0	0.0	0.0
33950100	50.0	50.0	50.0
34010100	27.0	27.0	27.0
34110100	70.0	70.0	70.0
34210100	24.0	24.0	24.0
34339100	47.0	47.0	47.0
34460100	20.0	20.0	20.0
34545100	0.0	60.0	60.0
34610100	117.0	117.0	117.0
34639100	45.0	45.0	45.0
34735100	13.0	13.0	13.0
34834100	42.0	42.0	42.0
34835100	122.0	122.0	122.0
35035100	50.0	0.0	0.0
35210100	45.0	45.0	45.0
35327100	40.0	40.0	40.0
35332100	38.0	38.0	38.0
35436100	270.0	270.0	270.0
35535100	18.0	18.0	18.0
35650100	17.0	17.0	17.0
