rowcode	Price1	Price2	Price3
10010100	32.0	33.0	32.0
10110100	5.55	5.55	5.55
10210100	11.0	11.0	11.0
10310100	24.0	24.0	24.0
10410100	26.0	26.0	26.0
10510100	4.75	4.75	4.75
10610100	4.0	4.0	4.0
10621100	14.0	14.0	14.0
10738100	5.5	5.5	5.5
10810100	22.0	22.0	22.0
10910100	4.45	4.45	4.45
11043100	50.0	50.0	50.0
11110100	34.0	34.0	34.0
11239100	34.0	34.0	34.0
11310100	26.0	26.0	26.0
11410100	13.0	13.0	13.0
11511100	15.0	15.0	15.0
11610100	2.0	2.0	2.0
11730100	104.4	104.4	104.4
11829100	45.0	45.0	45.0
11910100	65.0	65.0	65.0
12010100	95.0	95.0	95.0
12110100	26.0	26.0	26.0
12510100	10.0	10.0	10.0
12630100	150.0	150.0	150.0
12841100	33.0	33.0	33.0
12910100	16.0	16.0	16.0
12911100	15.0	15.0	15.0
13110100	36.0	36.0	36.0
13111100	23.0	23.0	23.0
13210100	205.0	205.0	205.0
13310100	260.0	260.0	260.0
13311100	215.0	215.0	215.0
13431100	73.0	73.0	73.0
13510100	14.0	14.0	14.0
13511100	13.0	13.0	13.0
13611100	10.0	10.0	10.0
13645100	10.0	10.0	10.0
13737100	30.0	30.0	30.0
13810100	5.0	5.0	5.0
13822100	7.0	7.0	7.0
13940100	30.0	30.0	30.0
14110100	22.0	22.0	22.0
14232100	80.0	80.0	80.0
14310100	48.0	48.0	48.0
14348100	75.0	75.0	75.0
14410100	55.0	35.0	35.0
14610100	50.0	50.0	50.0
14810100	165.0	165.0	165.0
15010100	25.0	25.0	25.0
15110100	40.0	40.0	40.0
15310100	8.0	8.0	8.0
15410100	21.0	21.0	21.0
15531100	32.0	32.0	32.0
15610100	65.0	50.0	50.0
15710100	40.0	40.0	40.0
15825100	4.0	4.0	4.0
15910100	60.0	60.0	60.0
16010100	60.0	65.0	65.0
16110100	70.0	60.0	60.0
16210100	35.0	35.0	35.0
16310100	60.0	45.0	45.0
16410100	10.0	12.0	12.0
16510100	25.0	25.0	25.0
16630100	16.0	16.0	16.0
16728100	13.0	13.0	13.0
16810100	13.0	13.0	13.0
16910100	18.0	15.0	15.0
17011100	5.57	5.57	5.57
