rowcode	jul24	aug24	sep24
4006003	5	5	5
4007006	37	37	37
4009003	4	4	4
4010032	32	32	32
4012012	13	13	13
4013004	16	16	16
4014030	95	100	100
4015040	15	17	17
4016004	27	27	27
4017041	8	8	8
4018004	15	15	15
4019004	3	3	3
4021027	86	86	86
4022004	76	76	76
4023028	56	56	56
4025038	32	33	34
4026006	6	6	6
4028004	43	43	43
4031005	208	208	208
4032004	62	62	62
4034026	25	26	25
4040019	295	295	295
4042007	10	10	10
4043004	150	150	150
4045035	143	143	143
4046026	20	20	20
4047006	20	20	20
4049007	17	17	17
4052007	17	17	17
4053007	190	190	190
4054004	30	30	30
4056006	55	55	55
4056046	45	45	45
4058035	14	14	14
4060004	72	79	79
4061086	12	12	12
4061015	25	25	27
4061016	25	25	25
4065004	2	3	3
4068032	166	166	166
4069040	85	85	85
4071035	49	49	49
4072004	35	35	35
4082004	45	45	45
4083004	5	5	5
4085007	8	8	8
4090014	110	110	110
4096004	500	420	400
4097004	70	75	75
4098004	82	82	82
4099004	80	80	80
4101004	115	115	115
4102004	100	100	100
4104004	125	135	135
4106004	60	60	45
4107004	75	60	70
4108004	30	25	30
4110004	30	30	40
4113007	22	22	22
4113008	33	33	33
4115005	23	23	23
4116005	19	19	19
4119003	5	5	5
4121004	40	40	40
4123030	70	70	70
4127011	70	70	70
4127012	60	65	65
4129030	120	120	120
4132004	14	15	15
4134005	269	269	269
4134006	189	256	256
4137004	42	42	42
4138004	35	35	35
4139005	26	26	16
4140004	30	30	30
4141004	38	38	38
4142004	9	9	9
4144004	80	75	75
4146005	39	36	36
4146006	16	16	16
4147015	22	22	22
4148004	5	3	3
4149004	5	3	3
4151001	16	16	17
4155031	27	27	30
4156010	84	84	84
4159005	190	190	249
4160004	117	127	127
4163006	40	40	40
4166005	6	6	6
4169005	15	15	15
4172005	40	40	40
4313004	32	32	32
4314003	20	20	20
4315029	42	42	42
4316004	18	18	18
4317004	58	58	58
4318004	49	49	49
4320032	53	53	53
4492004	30	30	30
4493028	95	95	95
4494006	40	40	40
4495002	40	40	40
4496028	103	103	103
4497038	8	8	8
4498006	80	80	80
4499042	85	85	85
4501046	27	27	27
4502007	36	36	36
4503034	140	140	140
4503035	85	85	85
4504008	58	58	58
4505060	40	40	40
4506005	98	98	98
4507037	50	50	50
4511005	33	33	33
4512034	15	15	15
4512004	36	36	36
4513004	16	16	16
4514030	16	16	16
4515004	55	55	55
4516048	45	45	45
