rowcode	last_month1
1	35.00
2	31.00
3	48.00
4	19.00
5	29.00
6	17.00
7	3.00
8	3.00
9	53.00
10	64.00
11	111.00
12	16.00
13	6.00
14	6.00
15	50.00
16	375.00
17	60.00
18	25.00
19	196.00
20	38.00
21	144.00
22	109.00
23	60.00
24	60.00
25	17.00
26	18.00
27	13.00
28	215.00
29	110.00
30	40.00
31	100.00
32	67.00
33	63.00
34	209.00
35	30.00
36	35.00
37	35.00
38	2.00
39	145.00
40	55.00
41	70.00
42	73.00
43	55.00
44	12.30
45	85.00
46	65.00
47	3.00
48	3.00
49	8.00
50	8.00
51	16.70
52	16.00
53	17.20
54	28.00
55	359.00
56	80.00
57	8.10
58	12.10
59	18.00
60	8.70
61	9.00
62	30.00
63	35.00
64	20.00
65	17.00
66	85.00
67	16.00
68	4.50
69	70.00
70	110.00
71	25.00
72	15.00
73	12.00
74	73.00
75	60.00
76	14.00
77	83.00
78	81.00
79	32.00
80	40.00
81	36.00
82	27.00
83	19.00
84	15.00
85	19.00
86	40.00
87	5.00
88	40.00
89	20.00
90	32.00
91	16.00
92	8.00
93	21.00
94	7.00
95	91.00
96	212.00
97	188.00
98	21.00
99	40.00
100	6.00
101	15.00
102	25.00
103	35.00
104	20.00
105	180.00
106	57.00
107	57.00
108	44.00
109	35.00
110	115.00
111	218.00
112	64.00
113	210.00
114	68.00
115	107.00
116	48.00
117	28.00
118	10.00
119	110.00
120	102.00
121	22.00
122	185.00
123	38.00
124	30.00
125	40.00
126	102.00
127	32.00
128	41.00
129	140.00
130	190.00
131	77.00
132	25.00
133	15.00
134	32.00
135	55.00
136	45.00
137	45.00
138	5.00
139	40.00
140	3.75
141	35.00
142	26.00
143	25.00
144	10.00
145	50.00
146	24.00
147	34.00
148	17.00
149	15.00
150	2.50
151	2.51
152	51.00
153	92.00
154	58.00
155	32.00
156	6.00
157	50.00
158	76.00
159	75.00
160	23.00
161	90.00
162	10.00
163	110.00
164	75.00
165	10.00
166	20.00
167	82.00
168	17.00
169	17.50
170	175.00
171	32.00
172	55.00
173	40.00
174	15.00
175	11.00
176	225.00
177	30.00
178	26.00
179	10.00
180	2.00
181	289.00
182	265.00
183	62.00
184	75.00
185	48.00
186	171.10
187	55.00
188	4.50
189	8.00
190	85.00
191	300.00
192	60.00
193	90.00
194	50.00
195	84.00
196	125.00
197	40.00
198	47.00
199	16.00
200	18.00
201	50.00
202	35.00
203	16.00
204	17.00
205	4.75
206	71.00
207	24.00
208	60.00
209	65.00
210	72.00
211	50.00
212	16.00
213	120.00
214	48.00
215	38.00
216	27.00
217	30.00
218	42.00
219	8.00
220	43.00
221	11.00
222	11.00
223	11.00
224	2.50
225	2.50
226	15.00
227	26.00
228	94.00
229	90.00
230	112.00
231	42.00
232	3.00
233	15.00
234	39.00
235	30.00
236	1370.00
237	555.00
238	76.00
239	35.00
240	21.00
241	34.00
242	20.00
243	55.00
244	79.00
245	68.00
246	14.00
247	190.00
248	70.00
249	51.00
250	72.00
251	8.50
252	50.00
253	85.00
254	32.00
255	75.00
256	37.00
257	265.00
258	36.00
259	15.00
260	39.00
261	100.00
262	50.00
263	75.00
264	89.00
265	190.00
266	35.00
267	28.00
268	15.00
269	38.00
270	60.00
271	40.00
272	38.00
273	25.00
274	38.00
275	8.00
276	30.00
277	16.00
278	20.00
279	29.00
280	17.00
281	2.50
282	50.00
283	85.00
284	75.00
285	31.00
286	12.00
287	6.00
288	50.00
289	240.00
290	135.00
291	70.00
292	28.00
293	10.00
294	130.00
295	190.00
296	40.00
297	175.00
298	38.00
299	84.00
300	17.00
301	16.50
302	19.50
303	18.00
304	360.00
305	20.00
306	14.00
307	75.00
308	23.00
309	32.00
310	28.00
311	9.00
312	8.00
313	2.00
314	215.00
315	68.00
316	75.00
317	32.00
318	45.00
319	250.00
320	120.00
321	15.00
322	35.00
323	5.50
324	7.00
325	7.00
326	115.00
327	115.00
328	160.00
329	80.00
330	350.00
331	35.00
332	60.00
333	35.00
334	80.00
335	90.00
336	90.00
337	40.00
338	55.00
339	15.00
340	15.00
341	20.00
342	25.00
343	17.00
344	17.00
345	65.00
346	160.00
347	35.00
348	14.00
349	70.00
350	105.00
351	13.00
352	475.00
353	31.00
354	70.00
355	38.00
356	34.00
357	24.00
358	18.00
359	25.00
360	40.00
361	7.00
362	54.50
363	32.00
364	12.00
365	12.00
366	21.50
367	25.00
368	28.00
369	78.00
370	85.00
371	85.00
372	110.00
373	38.00
374	12.00
375	3.00
376	13.00
377	13.00
378	40.00
379	28.00
380	360.00
381	13749.00
382	11590.00
383	7490.00
384	3490.00
385	4500.00
386	6100.00
387	8351.00
388	530.00
389	801.00
390	890.00
391	790.00
392	40.00
393	45.00
394	30.00
395	22.00
396	50.00
397	50.00
398	75.00
399	28.00
400	37.00
401	32.00
402	18.00
403	42.00
404	50.00
405	62.00
406	19.00
407	45.00
408	70.00
409	85.00
410	72.00
411	32.00
412	28.00
413	78.00
414	29.00
415	85.00
416	72.00
417	35.00
418	35.00
419	290.00
420	35.00
421	35.00
422	65.00
423	95.00
424	95.00
425	70.00
426	170.00
427	190.00
428	34.00
429	38.00
430	48.00
431	48.00
432	48.00
433	68.00
434	3.98
435	34.00
436	2.98
437	25.00
438	25.00
439	25.00
440	22.00
441	225.00
442	20.00
443	28.00
444	16.00
445	15.00
446	2.50
447	92.00
448	65.00
449	60.00
450	30.00
451	6.50
452	48.00
453	100.00
454	60.00
455	24.00
456	110.00
457	10.00
458	140.00
459	195.00
460	20.00
461	10.00
462	65.00
463	19.00
464	18.00
465	18.00
466	190.00
467	22.00
468	15.00
469	15.00
470	35.00
471	38.00
472	30.00
473	10.00
474	2.00
475	35.00
476	50.00
477	45.00
