rowcode	last_month1
1	70.00
2	120.00
3	120.00
4	150.00
5	120.00
6	82.00
7	497.00
8	425.00
9	598.00
10	397.00
11	545.00
12	345.00
13	295.00
14	295.00
15	495.00
16	497.00
17	695.00
18	295.00
19	595.00
20	145.00
21	8630.00
22	6750.00
23	17660.00
24	1015.00
25	1395.00
26	3565.00
27	8500.00
28	13144.00
29	9000.00
30	10524.00
31	855.00
32	877.00
33	1071.00
34	4700.00
35	8270.00
36	24.00
37	2756.00
38	137.80
39	80.00
40	72.00
41	105.00
42	105.00
43	106.00
44	3.00
45	5.00
46	40.00
47	30.00
48	72.00
49	99.00
50	695.00
51	795.00
52	395.00
53	195.00
54	575.00
55	395.00
56	395.00
57	294.00
58	350.00
59	350.00
60	225.00
61	65.00
62	105.00
63	105.00
64	169.00
65	4.00
66	5.00
67	18.00
68	50.00
69	95.00
70	15900.00
71	17500.00
72	5600.00
73	18885.00
74	8999.00
75	13999.00
76	21500.00
77	11999.00
78	300.00
79	250.00
80	250.00
81	180.00
82	180.00
83	280.00
84	155.00
85	30.00
86	350.00
87	275.00
88	295.00
89	90.00
90	6.00
91	5.00
92	15.00
93	62.00
94	10.00
95	75.00
96	125.00
97	75.00
98	110.00
99	105.00
100	70.00
101	32.00
102	27.00
103	17.50
104	16.50
105	19.50
106	17.50
107	14.00
108	35.00
109	190.00
110	340.00
111	350.00
112	50.00
113	50.00
114	110.00
115	65.00
116	70.00
117	30.00
118	120.00
119	20.00
120	15.00
121	14.00
122	55.00
123	5.50
124	8.00
125	160.00
126	20.00
127	100.00
128	300.00
129	50.00
130	60.00
131	45.00
132	22.00
133	80.00
134	80.00
135	100.00
136	45.00
137	80.00
138	20.00
139	22.00
140	45.00
141	200.00
142	330.00
143	640.00
144	430.00
145	350.00
146	280.00
147	50.00
148	550.00
149	420.00
150	25.00
151	35.00
152	30.00
153	40.00
154	220.00
155	38.00
156	35.00
157	25.00
158	33.00
159	13.00
160	55.00
161	110.00
162	75.00
163	40.00
164	40.00
165	25.00
166	35.00
167	50.00
168	100.00
169	120.00
170	295.00
171	430.00
172	190.00
173	225.00
174	170.00
175	80.50
176	220.00
177	190.00
178	140.00
179	30.00
180	350.00
181	170.00
182	243.00
183	320.00
184	260.00
185	150.00
186	250.00
187	235.00
188	20.50
189	1000.00
190	85.00
191	275.00
192	45.00
193	35.00
194	195.00
195	300.00
196	120.00
197	235.00
198	195.00
199	220.00
200	6454.53
201	10375.00
202	7500.00
203	1220.00
204	22.00
205	47.00
206	57.00
207	50.00
208	32.00
209	32.00
210	163.02
211	142.65
212	132.45
213	142.65
214	142.65
215	91.70
216	101.89
217	101.89
218	135.00
219	130.00
220	115.00
221	140.00
222	45.00
223	135.00
224	250.00
225	120.00
226	35.00
227	17.50
228	17.50
229	16.50
230	650.00
231	595.00
232	250.00
233	395.00
234	295.00
235	295.00
236	295.00
237	425.00
238	230.00
239	120.00
240	5.00
241	5.00
242	30.00
243	135.00
244	35.00
245	422.57
246	37.80
247	160.00
248	3.89
249	4995.00
250	80.00
251	32.00
252	46.00
253	38.00
254	50.00
255	240.00
256	71.00
257	35.00
258	35.00
259	2360.00
260	7960.00
261	5460.00
262	2860.00
263	6000.00
264	3280.00
265	3990.00
266	5900.00
267	13440.00
268	21550.00
269	22500.00
270	17810.00
271	3240.00
272	4968.00
273	2700.00
274	1455.00
275	1782.00
276	3564.00
277	4320.00
278	2160.00
279	5740.00
280	1350.00
281	1080.00
282	1620.00
283	2160.00
284	1404.00
285	1512.00
286	3240.00
287	4968.00
