rowcode	last_month1
1	35
2	31
3	48
4	19
5	29
6	17
7	3
8	3
9	53
10	64
11	111
12	16
13	6
14	6
15	50
16	375
17	57
18	25
19	196
20	38
21	144
22	109
23	60
24	60
25	17
26	17
27	13
28	215
29	110
30	40
31	100
32	67
33	63
34	209
35	30
36	35
37	35
38	2
39	145
40	55
41	68
42	73
43	55
44	12
45	85
46	65
47	3
48	3
49	7
50	6
51	17
52	13
53	14
54	20
55	171
56	80
57	8
58	16
59	18
60	9
61	10
62	30
63	45
64	17
65	17
66	60
67	16
68	4
69	70
70	110
71	25
72	15
73	12
74	73
75	60
76	14
77	83
78	81
79	32
80	40
81	36
82	27
83	19
84	15
85	19
86	40
87	5
88	40
89	20
90	32
91	16
92	8
93	21
94	7
95	91
96	212
97	188
98	21
99	46
100	6
101	15
102	25
103	35
104	20
105	180
106	57
107	57
108	44
109	35
110	115
111	218
112	64
113	210
114	68
115	107
116	48
117	28
118	10
119	110
120	102
121	22
122	184
123	38
124	30
125	40
126	102
127	32
128	41
129	140
130	190
131	77
132	25
133	15
134	32
135	55
136	45
137	45
138	5
139	40
140	4
141	35
142	26
143	25
144	10
145	50
146	24
147	27
148	17
149	15
150	3
151	3
152	51
153	92
154	58
155	32
156	6
157	50
158	76
159	75
160	23
161	90
162	10
163	110
164	75
165	10
166	20
167	82
168	17
169	18
170	175
171	32
172	55
173	40
174	15
175	11
176	260
177	30
178	26
179	10
180	2
181	289
182	265
183	62
184	75
185	48
186	171
187	95
188	3
189	7
190	85
191	350
192	40
193	86
194	35
195	95
196	125
197	20
198	83
199	10
200	18
201	50
202	35
203	16
204	17
205	5
206	71
207	24
208	60
209	65
210	72
211	50
212	16
213	120
214	48
215	38
216	25
217	30
218	42
219	8
220	109
221	11
222	11
223	11
224	3
225	3
226	15
227	26
228	94
229	98
230	112
231	41
232	3
233	15
234	39
235	30
236	1370
237	555
238	76
239	35
240	21
241	33
242	20
243	61
244	79
245	68
246	14
247	190
248	70
249	51
250	72
251	9
252	50
253	85
254	32
255	75
256	37
257	265
258	36
259	15
260	39
261	100
262	50
263	75
264	89
265	190
266	35
267	28
268	15
269	38
270	60
271	40
272	38
273	25
274	38
275	8
276	30
277	16
278	20
279	29
280	17
281	3
282	50
283	85
284	75
285	31
286	12
287	6
288	60
289	240
290	135
291	70
292	28
293	10
294	130
295	190
296	40
297	175
298	38
299	84
300	17
301	17
302	20
303	17
304	360
305	20
306	14
307	72
308	23
309	32
310	28
311	9
312	8
313	2
314	215
315	68
316	75
317	32
318	45
319	250
320	120
321	15
322	120
323	3
324	6
325	7
326	150
327	150
328	160
329	80
330	350
331	50
332	45
333	35
334	80
335	90
336	90
337	25
338	85
339	14
340	18
341	20
342	25
343	17
344	17
345	65
346	160
347	35
348	14
349	70
350	105
351	13
352	400
353	31
354	70
355	38
356	34
357	36
358	18
359	27
360	36
361	7
362	65
363	32
364	12
365	12
366	22
367	25
368	28
369	85
370	85
371	85
372	105
373	38
374	12
375	3
376	13
377	13
378	40
379	28
380	360
381	13749
382	11590
383	7490
384	3490
385	4500
386	6100
387	8351
388	530
389	801
390	890
391	790
392	40
393	45
394	30
395	22
396	50
397	50
398	75
399	28
400	37
401	32
402	18
403	42
404	50
405	62
406	19
407	45
408	70
409	85
410	55
411	32
412	28
413	75
414	29
415	85
416	72
417	35
418	35
419	290
420	35
421	35
422	65
423	95
424	65
425	70
426	170
427	190
428	34
429	38
430	45
431	48
432	48
433	65
434	4
435	34
436	3
437	25
438	25
439	25
440	22
441	225
442	20
443	28
444	16
445	15
446	3
447	92
448	65
449	60
450	30
451	7
452	48
453	100
454	60
455	24
456	110
457	10
458	140
459	195
460	20
461	10
462	65
463	19
464	18
465	18
466	190
467	22
468	15
469	15
470	35
471	38
472	30
473	10
474	2
475	35
476	50
477	45
478	45
479	4
480	6
481	11
482	40
483	65
484	60
485	40
486	40
487	100
488	110
489	125
490	35
491	80
492	20
493	20
494	35
495	60
496	20
497	18
498	4
499	70
500	145
501	30
502	38
503	15
504	65
505	78
506	58
507	14
508	68
509	48
510	38
511	26
512	32
513	38
514	6
515	100
516	18
517	22
518	1
519	1
520	32
521	85
522	80
523	95
524	120
525	40
526	40
527	3
528	16
529	30
530	110
531	35
532	1
533	8
534	8
535	8
536	265
537	28
538	38
539	45
540	38
541	38
542	65
543	68
544	85
545	7
546	40
547	85
548	65
549	28
550	28
551	38
552	48
553	35
554	45
555	55
556	48
557	320
558	32
559	22
560	15
561	30
562	45
563	5
564	45
565	5
566	25
567	16
568	25
569	10
570	198
571	17
572	28
573	8
574	15
575	3
576	90
577	65
578	59
579	33
580	7
581	52
582	45
583	55
584	25
585	85
586	95
587	80
588	80
589	185
590	60
591	35
592	39
593	17
594	18
595	195
596	20
597	45
598	20
599	198
600	29
601	3
602	150
603	70
604	3
605	58
606	35
607	75
608	11
609	95
610	2
611	7
612	130
613	20
614	18
615	95
616	15
617	45
618	95
619	90
620	5
621	18
622	9
623	95
624	9
625	25
626	70
627	15
628	30
629	25
630	25
631	18
632	5
633	80
634	145
635	36
636	27
637	62
638	15
639	125
640	32
641	44
642	49
643	25
644	19
645	36
646	6
647	100
648	33
649	15
650	10
651	10
652	6
653	4
654	30
655	95
656	95
657	120
658	38
659	3
660	15
661	42
662	25
663	699
664	992
665	665
666	32
667	55
668	35
669	30
670	40
671	42
672	25
673	58
674	118
675	49
676	10
677	48
678	68
679	85
680	15
681	29
682	108
683	179
684	20
685	42
686	35
687	280
688	28
689	115
690	98
691	98
692	37
693	58
694	195
695	35
696	29
697	10
698	28
699	45
700	45
701	5
702	37
703	4
704	32
705	13
706	16
707	115
708	17
709	27
710	8
711	15
712	3
713	86
714	76
715	165
716	31
717	6
718	65
719	208
720	62
721	25
722	245
723	10
724	150
725	187
726	37
727	21
728	17
729	18
730	190
731	23
732	55
733	45
734	13
735	79
736	12
737	29
738	27
739	2
740	166
741	85
742	71
743	35
744	66
745	4
746	6
747	80
748	300
749	80
750	82
751	80
752	115
753	115
754	110
755	20
756	82
757	20
758	30
759	22
760	33
761	22
762	19
763	5
764	109
765	70
766	70
767	65
768	120
769	17
770	269
771	256
772	42
773	35
774	26
775	30
776	38
777	8
778	110
779	22
780	21
781	25
782	3
783	3
784	17
785	30
786	87
787	249
788	127
789	40
790	6
791	15
792	40
793	32
794	20
795	42
796	18
797	58
798	49
799	44
800	20
801	90
802	40
803	40
804	105
805	8
806	80
807	85
808	27
809	36
810	140
811	265
812	55
813	40
814	76
815	50
816	33
817	50
818	32
819	15
820	17
821	45
822	55
823	5
824	31
825	4
826	30
827	14
828	23
829	15
830	45
831	30
832	38
833	18
834	20
835	3
836	3
837	75
838	75
839	32
840	6
841	48
842	48
843	65
844	25
845	10
846	125
847	95
848	60
849	10
850	60
851	18
852	16
853	18
854	14
855	350
856	180
857	22
858	65
859	15
860	190
861	40
862	40
863	10
864	2
865	185
866	92
867	95
868	55
869	70
870	38
871	45
872	80
873	50
874	160
875	15
876	80
877	4
878	8
879	5
880	100
881	15
882	35
883	220
884	120
885	350
886	85
887	80
888	35
889	38
890	100
891	110
892	115
893	25
894	80
895	13
896	18
897	70
898	10
899	12
900	20
901	20
902	5
903	70
904	25
905	55
906	38
907	38
908	70
909	80
910	15
911	165
912	40
913	35
914	25
915	18
916	27
917	38
918	8
919	85
920	35
921	10
922	10
923	5
924	3
925	9
926	7
927	75
928	95
929	60
930	125
931	42
932	6
933	15
934	40
935	1
936	25
937	40
938	60
939	18
940	55
941	50
942	57
943	20
944	25
945	50
946	78
947	70
948	10
949	28
950	85
951	85
952	35
953	65
954	35
955	385
956	45
957	48
958	50
959	78
960	155
961	50
962	22
963	30
964	225
965	35
966	15
967	25
968	55
969	60
970	5
971	41
972	4
973	31
974	24
975	24
976	14
977	46
978	12
979	47
980	18
981	27
982	15
983	3
984	50
985	81
986	56
987	32
988	32
989	6
990	45
991	75
992	28
993	110
994	252
995	30
996	100
997	20
998	132
999	18
1000	18
1001	302
1002	32
1003	47
1004	48
1005	15
1006	195
1007	29
1008	29
1009	10
1010	2
1011	85
1012	81
1013	75
1014	32
1015	40
1016	100
1017	50
1018	95
1019	15
1020	50
1021	4
1022	5
1023	115
1024	20
1025	115
1026	9
1027	300
1028	60
1029	70
1030	35
1031	20
1032	70
1033	85
1034	85
1035	15
1036	60
1037	15
1038	17
1039	45
1040	32
1041	37
1042	20
1043	18
1044	5
1045	69
1046	122
1047	22
1048	76
1049	43
1050	70
1051	119
1052	16
1053	300
1054	32
1055	44
1056	35
1057	27
1058	20
1059	33
1060	38
1061	9
1062	90
1063	10
1064	20
1065	1
1066	1
1067	16
1068	8
1069	85
1070	102
1071	110
1072	40
1073	6
1074	32
1075	29
1076	170
1077	29
1078	2
1079	30
1080	184
1081	25
1082	56
1083	20
1084	325
1085	204
1086	100
1087	21
1088	7
1089	26
1090	41
1091	40
1092	19
1093	60
1094	105
1095	50
1096	70
1097	220
1098	69
1099	158
1100	95
1101	8
1102	34
1103	78
1104	83
1105	29
1106	51
1107	36
1108	36
1109	34
1110	38
1111	93
1112	46
1113	198
1114	34
1115	14
1116	15
1117	42
1118	60
1119	47
1120	5
1121	37
1122	4
1123	30
1124	24
1125	40
1126	45
1127	16
1128	29
1129	40
1130	15
1131	15
1132	3
1133	3
1134	55
1135	84
1136	110
1137	33
1138	7
1139	50
1140	100
1141	55
1142	70
1143	10
1144	110
1145	70
1146	20
1147	6
1148	17
1149	19
1150	280
1151	361
1152	21
1153	40
1154	15
1155	14
1156	230
1157	37
1158	10
1159	2
1160	238
1161	45
1162	78
1163	50
1164	120
1165	45
1166	30
1167	120
1168	65
1169	4
1170	5
1171	150
1172	18
1173	100
1174	10
1175	200
1176	75
1177	70
1178	30
1179	25
1180	80
1181	85
1182	20
1183	80
1184	18
1185	18
1186	65
1187	40
1188	55
1189	21
1190	4
1191	5
1192	72
1193	130
1194	35
1195	15
1196	108
1197	16
1198	135
1199	32
1200	40
1201	48
1202	38
1203	25
1204	32
1205	39
1206	10
1207	40
1208	35
1209	18
1210	5
1211	1
1212	30
1213	80
1214	90
1215	51
1216	115
1217	42
1218	6
1219	15
1220	200
1221	180
1222	2
1223	40
1224	30
1225	33
1226	20
1227	45
1228	65
1229	22
1230	25
1231	79
1232	10
1233	32
1234	80
1235	80
1236	33
1237	45
1238	30
1239	32
1240	55
1241	38
1242	135
1243	30
1244	45
1245	95
1246	33
1247	17
1248	38
1249	50
1250	50
1251	5
1252	45
1253	4
1254	25
1255	25
1256	27
1257	45
1258	12
1259	45
1260	16
1261	30
1262	15
1263	18
1264	15
1265	3
1266	50
1267	60
1268	160
1269	30
1270	6
1271	50
1272	95
1273	54
1274	22
1275	150
1276	10
1277	135
1278	70
1279	50
1280	11
1281	70
1282	17
1283	18
1284	17
1285	335
1286	260
1287	20
1288	30
1289	39
1290	14
1291	14
1292	80
1293	35
1294	10
1295	2
1296	235
1297	68
1298	65
1299	34
1300	50
1301	100
1302	55
1303	120
1304	20
1305	40
1306	4
1307	7
1308	175
1309	25
1310	115
1311	15
1312	250
1313	75
1314	70
1315	75
1316	30
1317	80
1318	87
1319	100
1320	30
1321	80
1322	16
1323	18
1324	70
1325	45
1326	50
1327	20
1328	5
1329	5
1330	65
1331	85
1332	48
1333	14
1334	65
1335	90
1336	15
1337	130
1338	105
1339	65
1340	45
1341	35
1342	26
1343	32
1344	37
1345	8
1346	65
1347	35
1348	10
1349	12
1350	30
1351	2
1352	3
1353	7
1354	80
1355	90
1356	120
1357	37
1358	6
1359	16
1360	40
1361	185
1362	35
1363	1
1364	25
1365	30
1366	40
1367	19
1368	47
1369	33
1370	60
1371	64
1372	70
1373	10
1374	40
1375	47
1376	34
1377	35
1378	27
1379	24
1380	40
1381	60
1382	38
1383	45
1384	40
1385	90
1386	33
1387	30
1388	15
1389	30
1390	55
1391	5
1392	40
1393	4
1394	25
1395	25
1396	18
1397	10
1398	8
1399	30
1400	15
1401	3
1402	55
1403	60
1404	55
1405	32
1406	6
1407	50
1408	90
1409	80
1410	28
1411	140
1412	5
1413	5
1414	19
1415	17
1416	140
1417	22
1418	45
1419	15
1420	210
1421	30
1422	10
1423	3
1424	270
1425	75
1426	70
1427	15
1428	70
1429	3
1430	6
1431	85
1432	35
1433	30
1434	90
1435	110
1436	30
1437	60
1438	15
1439	20
1440	20
1441	18
1442	5
1443	68
1444	45
1445	45
1446	60
1447	120
1448	32
1449	38
1450	50
1451	26
1452	30
1453	75
1454	34
1455	10
1456	5
1457	2
1458	3
1459	10
1460	50
1461	85
1462	52
1463	120
1464	38
1465	3
1466	15
1467	40
1468	238
1469	1
1470	32
1471	38
1472	45
1473	15
1474	60
1475	15
1476	76
1477	18
1478	75
1479	32
1480	15
1481	35
1482	28
1483	62
1484	60
1485	35
1486	50
1487	25
1488	330
1489	35
1490	25
1491	45
1492	60
1493	55
1494	5
1495	40
1496	4
1497	30
1498	25
1499	10
1500	50
1501	29
1502	15
1503	3
1504	48
1505	65
1506	40
1507	32
1508	7
1509	48
1510	100
1511	65
1512	23
1513	10
1514	25
1515	25
1516	150
1517	85
1519	40
1520	5
1521	10
1522	40
1523	20
1524	19
1525	140
1526	40
1527	15
1528	77
1529	30
1530	10
1531	2
1532	170
1533	81
1534	75
1535	34
1536	45
1537	50
1538	4
1539	6
1540	90
1541	240
1542	70
1543	45
1544	65
1545	115
1546	85
1547	35
1548	70
1549	16
1550	20
1551	40
1552	50
1553	20
1554	5
1555	110
1556	45
1557	30
1558	75
1559	15
1560	205
1561	32
1562	37
1563	14
1564	14
1565	40
1566	10
1567	90
1568	35
1569	20
1570	13
1571	8
1572	2
1573	20
1574	40
1575	95
1576	50
1577	3
1578	42
1579	15
1580	32
1581	240
1582	240
1583	240
1584	11
1585	45
1586	38
1587	46
1588	20
1589	60
1590	58
1591	56
1592	25
1593	44
1594	120
1595	20
1596	30
1597	102
1598	220
1599	38
1600	90
1601	25
1602	25
1603	135
1604	135
1605	32
1606	65
1607	86
1608	215
1609	20
1610	30
1611	55
1612	70
1613	50
1614	45
1615	5
1616	32
1617	4
1618	33
1619	26
1620	14
1621	18
1622	12
1623	47
1624	17
1625	29
1626	20
1627	19
1628	15
1629	3
1630	50
1631	47
1632	55
1633	31
1634	8
1635	46
1636	82
1637	24
1638	90
1639	12
1640	125
1641	160
1642	10
1643	10
1644	10
1645	18
1646	190
1647	25
1648	49
1649	30
1650	16
1651	80
1652	13
1653	40
1654	29
1655	3
1656	150
1657	42
1658	70
1659	15
1660	80
1661	3
1662	6
1663	5
1664	75
1665	50
1666	100
1667	95
1668	30
1669	65
1670	15
1671	14
1672	12
1673	13
1674	20
1675	20
1676	5
1677	69
1678	126
1679	28
1680	73
1681	75
1682	12
1683	230
1684	33
1685	45
1686	38
1687	28
1688	33
1689	15
1690	36
1691	10
1692	75
1693	38
1694	12
1695	1
1696	2
1697	3
1698	10
1699	79
1700	82
1701	49
1702	129
1703	40
1704	6
1705	16
1706	40
