rowcode	last_month1
1	70
2	120
3	120
4	150
5	120
6	82
7	497
8	425
9	598
10	397
11	545
12	345
13	295
14	295
15	495
16	497
17	695
18	295
19	595
20	145
21	8630
22	6750
23	17660
24	1015
25	1395
26	3565
27	8500
28	13144
29	9000
30	10524
31	855
32	887
33	1071
34	4700
35	8270
36	24
37	2756
38	138
39	80
40	75
41	86
42	112
43	106
44	3
45	5
46	40
47	30
48	90
49	99
50	695
51	795
52	395
53	195
54	575
55	395
56	395
57	294
58	350
59	350
60	225
61	65
62	105
63	105
64	169
65	4
66	5
67	18
68	50
69	95
70	15900
71	17500
72	5600
73	18885
74	8999
75	13999
76	21500
77	11999
78	300
79	250
80	250
81	180
82	180
83	280
84	155
85	30
86	350
87	275
88	295
89	90
90	6
91	5
92	15
93	62
94	10
95	75
96	125
97	75
98	110
99	105
100	70
101	32
102	27
103	18
104	17
105	20
106	18
107	14
108	35
109	190
110	340
111	350
112	45
113	40
114	110
115	70
116	70
117	30
118	120
119	20
120	15
121	15
122	90
123	4
124	5
125	160
126	25
127	100
128	275
129	50
130	60
131	40
132	20
133	80
134	80
135	80
136	45
137	80
138	20
139	22
140	45
141	200
142	330
143	640
144	430
145	350
146	280
147	50
148	550
149	420
150	25
151	35
152	30
153	40
154	220
155	38
156	35
157	25
158	33
159	13
160	55
161	110
162	75
163	35
164	40
165	25
166	35
167	50
168	95
169	120
170	295
171	430
172	190
173	225
174	170
175	81
176	220
177	190
178	140
179	30
180	350
181	170
182	243
183	320
184	230
185	150
186	250
187	235
188	21
189	1000
190	85
191	275
192	45
193	35
194	195
195	300
196	120
197	235
198	195
199	220
200	6455
201	10375
202	7500
203	1220
204	22
205	47
206	57
207	50
208	32
209	32
210	163
211	143
212	132
213	143
214	143
215	92
216	102
217	102
218	135
219	130
220	115
221	140
222	45
223	135
224	250
225	120
226	35
227	18
228	18
229	17
230	650
231	595
232	250
233	395
234	295
235	295
236	295
237	425
238	230
239	120
240	5
241	5
242	30
243	135
244	35
245	423
246	38
247	160
248	4
249	4995
250	80
251	32
252	46
253	38
254	50
255	240
256	71
257	35
258	35
