rowcode	last_month1
1	5
2	40
3	4
4	35
5	24
6	20
7	47
8	17
9	28
10	16
11	15
12	3
13	50
14	95
15	58
16	33
17	7
18	47
19	105
20	58
21	25
22	90
23	90
24	12
25	125
26	190
27	20
28	12
29	70
30	17
31	16
32	385
33	24
34	26
35	15
36	75
37	27
38	2
39	260
40	80
41	72
42	32
43	40
44	100
45	65
46	140
47	18
48	120
49	3
50	6
51	180
52	25
53	35
54	125
55	100
56	350
57	60
58	70
59	90
60	40
61	100
62	110
63	110
64	40
65	65
66	12
67	15
68	120
69	55
70	20
71	5
72	5
73	110
74	85
75	38
76	25
77	130
78	17
79	160
80	29
81	50
82	36
83	28
84	34
85	40
86	8
87	55
88	58
89	7
90	18
91	30
92	1
93	14
94	35
95	82
96	47
97	110
98	40
99	3
100	15
101	40
102	235
103	225
104	31
105	38
106	20
107	45
108	58
109	32
110	25
111	45
112	105
113	45
114	80
115	10
116	30
117	85
118	30
119	35
120	38
121	30
122	80
123	105
124	35
125	45
126	25
127	120
128	20
129	55
130	15
131	40
132	55
133	55
134	5
135	34
136	4
137	39
138	29
139	24
140	12
141	227
142	38
143	25
144	19
145	17
146	3
147	57
148	63
149	64
150	35
151	6
152	52
153	67
154	26
155	480
156	11
157	140
158	238
159	50
160	11
161	50
162	15
163	15
164	339
165	29
166	61
167	15
168	75
169	26
170	2
171	125
172	70
173	72
174	32
175	48
176	32
177	142
178	20
179	42
180	5
181	6
182	180
183	20
184	150
185	110
186	6
187	32
188	45
189	97
190	38
191	20
192	92
193	85
194	100
195	25
196	80
197	18
198	18
199	87
200	38
201	22
202	17
203	5
204	135
205	70
206	54
207	40
208	127
209	14
210	150
211	28
212	44
213	34
214	18
215	19
216	36
217	5
218	57
219	36
220	18
221	50
222	140
223	221
224	30
225	87
226	97
227	69
228	115
229	11
230	3
231	15
232	40
233	239
234	31
235	33
236	55
237	35
238	60
239	35
240	51
241	65
242	62
243	20
244	100
245	94
246	66
247	63
248	19
249	45
250	40
251	30
252	42
253	44
254	179
255	35
256	42
257	54
258	82
259	36
260	215
261	39
262	23
263	9
264	25
265	69
266	49
267	10
268	32
269	8
270	32
271	30
272	24
273	48
274	19
275	46
276	8
277	28
278	9
279	17
280	13
281	10
282	3
283	85
284	60
285	55
286	33
287	6
288	47
289	130
290	64
291	26
292	10
293	105
294	235
295	20
296	44
297	18
298	17
299	335
300	36
301	71
302	12
303	83
304	30
305	42
306	10
307	2
308	270
309	80
310	100
311	32
312	40
313	138
314	55
315	120
316	15
317	75
318	3
319	6
320	20
321	22
322	11
323	9
324	10
325	7
326	78
327	7
328	20
329	70
330	90
331	90
332	90
333	10
334	20
335	50
336	15
337	20
338	78
339	18
340	27
341	20
342	20
343	10
344	55
345	50
346	64
347	65
348	123
349	12
350	240
351	33
352	45
353	36
354	27
355	30
356	38
357	8
358	85
359	35
360	21
361	11
362	10
363	10
364	16
365	8
366	105
367	92
368	50
369	110
370	40
371	5
372	15
373	40
374	90
375	31
376	38
377	41
378	37
379	43
380	60
381	35
382	43
383	25
384	116
385	72
386	19
387	30
388	35
389	32
390	81
391	39
392	72
393	51
394	65
395	100
396	28
397	78
398	59
399	35
400	30
401	35
402	26
403	35
404	35
405	75
406	50
407	40
408	70
409	10
410	158
411	26
412	7
413	28
414	25
415	24
416	12
417	212
418	17
419	27
420	15
421	60
422	2
423	50
424	90
425	57
426	31
427	6
428	6
429	38
430	45
431	60
432	24
433	10
434	105
435	180
436	10
437	73
438	16
439	16
440	16
441	350
442	305
443	60
444	48
445	12
446	215
447	9
448	29
449	42
450	40
451	2
452	135
453	35
454	65
455	68
456	33
457	110
458	110
459	45
460	4
461	6
462	6
463	175
464	16
465	98
466	8
467	25
468	60
469	60
470	65
471	8
472	90
473	80
474	25
475	65
476	18
477	15
478	74
479	15
480	23
481	19
482	4
483	10
484	72
485	42
486	20
487	14
488	21
489	72
490	70
491	79
492	13
493	183
494	83
495	28
496	39
497	35
498	19
499	20
500	9
501	40
502	35
503	28
504	15
505	20
506	3
507	39
508	39
509	98
510	50
511	87
512	89
513	118
514	39
515	11
516	3
517	14
518	39
519	57
520	30
521	25
522	43
523	17
524	39
525	119
526	65
527	18
528	135
529	60
530	75
531	73
532	7
533	27
534	82
535	79
536	28
537	36
538	35
539	75
540	38
541	100
542	27
543	35
544	215
545	100
546	34
547	27
548	32
549	13
550	31
551	46
552	45
553	5
554	30
555	4
556	15
557	10
558	50
559	15
560	30
561	16
562	15
563	3
564	85
565	90
566	57
567	20
568	6
569	55
570	615
571	70
572	80
573	130
574	185
575	20
576	35
577	80
578	17
579	18
580	445
581	25
582	70
583	15
584	85
585	30
586	3
587	130
588	100
589	110
590	30
591	35
592	100
593	60
594	14
595	4
596	7
597	240
598	20
599	25
600	110
601	90
602	275
603	70
604	80
605	27
606	35
607	125
608	100
609	25
610	65
611	15
612	20
613	280
614	35
615	30
616	4
617	5
618	60
619	246
620	50
621	70
622	80
623	30
624	235
625	35
626	40
627	36
628	20
629	50
630	45
631	6
632	5
633	30
634	15
635	44
636	15
637	30
638	85
639	130
640	150
641	12
642	3
643	15
644	40
645	55
646	30
647	60
648	40
649	20
650	115
651	70
652	40
653	30
654	20
655	123
656	8
657	60
658	35
659	20
660	45
661	30
662	60
663	36
664	80
665	45
666	50
667	40
668	105
669	25
670	35
671	19
672	25
673	40
674	102
675	5
676	45
677	4
678	26
679	26
680	24
681	17
682	10
683	45
684	17
685	28
686	17
687	9
688	10
689	3
690	43
691	68
692	105
693	33
694	6
695	50
696	135
697	52
698	26
699	210
700	10
701	150
702	170
703	10
704	18
705	17
706	13
707	205
708	16
709	68
710	12
711	195
712	40
713	9
714	2
715	103
716	70
717	78
718	32
719	115
720	15
721	37
722	13
723	42
724	20
725	75
726	80
727	120
728	60
729	75
730	25
731	20
732	81
733	80
734	20
735	65
736	12
737	16
738	18
739	22
740	19
741	17
742	5
743	135
744	87
745	36
746	76
747	15
748	65
749	16
750	130
751	130
752	73
753	30
754	45
755	37
756	26
757	34
758	39
759	9
760	65
761	34
762	4
763	1
764	58
765	77
766	80
767	48
768	41
769	38
770	3
771	14
772	40
773	245
774	1
775	110
776	37
777	41
778	18
779	84
780	100
781	127
782	70
783	31
784	9
785	30
786	73
787	30
788	39
789	35
790	35
791	210
792	32
793	91
794	72
795	93
796	80
797	19
798	73
799	85
800	35
801	26
802	13
803	30
804	60
805	60
806	40
807	40
808	5
809	30
810	38
811	5
812	32
813	23
814	38
815	30
816	16
817	11
818	29
819	25
820	9
821	52
822	3
823	65
824	105
825	55
826	31
827	6
828	42
829	120
830	55
831	28
832	130
833	150
834	10
835	12
836	169
837	32
838	40
839	40
840	17
841	17
842	75
843	17
844	180
845	30
846	55
847	40
848	10
849	80
850	32
851	9
852	2
853	110
854	85
855	65
856	78
857	61
858	48
859	260
860	28
861	120
862	15
863	50
864	3
865	7
866	9
867	160
868	15
869	165
870	230
871	80
872	360
873	25
874	45
875	80
876	28
877	80
878	90
879	27
880	55
881	15
882	18
883	30
884	30
885	20
886	18
887	19
888	19
889	5
890	32
891	39
892	45
893	34
894	75
895	68
896	18
897	140
898	70
899	31
900	38
901	30
902	25
903	27
904	38
905	8
906	65
907	32
908	30
909	25
910	8
911	25
912	7
913	85
914	80
915	85
916	95
917	105
918	43
919	5
920	13
921	40
922	150
923	150
924	160
925	145
926	190
927	25
928	330
929	120
930	69
931	30
932	890
933	70
934	85
935	4290
936	7990
937	4690
938	4890
939	18990
940	1700
941	13590
942	410
943	200
944	25990
945	7190
946	1000
947	4590
948	2990
949	11590
950	6890
951	583
952	2100
953	1290
954	890
955	450
956	35
957	14
958	690
959	150
960	42
961	30
962	42
963	39
964	48
965	48
966	62
967	33990
968	12639
969	1450
970	32
971	11
972	35
973	50
974	44
975	55
976	12
977	35
978	75
979	35
980	40
981	28
982	35
983	35
984	52
985	38
986	44
987	47
988	45
989	35
990	170
991	170
992	34
993	31
994	5
995	38
996	38
997	40
998	45
999	48
1000	125
1001	290
1002	75
1003	375
1004	75
1005	45
1006	380
1007	99
1008	5
1009	56
1010	4
1011	43
1012	25
1013	12
1014	10
1015	50
1016	18
1017	30
1018	22
1019	18
1020	60
1021	3
1022	78
1023	60
1024	55
1025	34
1026	34
1027	7
1028	45
1029	105
1030	83
1031	25
1032	92
1033	38
1034	150
1035	185
1036	18
1037	37
1038	17
1039	19
1040	175
1041	19
1042	35
1043	11
1044	83
1045	36
1046	27
1047	13
1048	2
1049	75
1050	82
1051	40
1052	55
1053	110
1054	15
1055	110
1056	4
1057	6
1058	175
1059	25
1060	25
1061	175
1062	75
1063	250
1064	38
1065	72
1066	80
1067	24
1068	90
1069	85
1070	20
1071	48
1072	15
1073	17
1074	80
1075	40
1076	60
1077	22
1078	22
1079	5
1080	61
1081	95
1082	30
1083	25
1084	62
1085	82
1086	68
1087	127
1088	14
1089	138
1090	60
1091	45
1092	38
1093	30
1094	35
1095	41
1096	9
1097	44
1098	34
1099	37
1100	10
1101	10
1102	4
1103	9
1104	80
1105	95
1106	90
1107	115
1108	40
1109	3
1110	15
1111	40
1112	240
1113	31
1114	42
1115	36
1116	44
1117	28
1118	50
1119	84
1120	47
1121	20
1122	20
1123	72
1124	74
1125	9
1126	35
1127	88
1128	26
1129	31
1130	28
1131	38
1132	44
1133	42
1134	105
1135	45
1136	238
1137	35
1138	29
1139	12
1140	32
1141	41
1142	55
1143	5
1144	42
1145	4
1146	35
1147	23
1148	22
1149	10
1150	45
1151	18
1152	38
1153	30
1154	35
1155	8
1156	15
1157	3
1158	90
1159	75
1160	62
1161	35
1162	6
1163	6
1164	50
1165	133
1166	63
1167	35
1168	140
1169	32
1170	115
1171	95
1172	30
1173	18
1174	18
1175	16
1176	480
1177	195
1178	12
1179	60
1180	40
1181	15
1182	32
1183	40
1184	30
1185	30
1186	10
1187	3
1188	260
1189	77
1190	78
1191	96
1192	120
1193	140
1194	120
1195	3
1196	5
1197	8
1198	100
1199	80
1200	80
1201	80
1202	350
1203	45
1204	75
1205	50
1206	75
1207	90
1208	40
1209	65
1210	15
1211	18
1212	65
1213	38
1214	45
1215	20
1216	18
1217	5
1218	125
1219	55
1220	50
1221	25
1222	25
1223	75
1224	75
1225	125
1226	15
1227	445
1228	36
1229	42
1230	45
1231	40
1232	18
1233	35
1234	42
1235	3
1236	85
1237	35
1238	12
1239	5
1240	1
1241	3
1242	8
1243	90
1244	90
1245	54
1246	120
1247	42
1248	14
1249	3
1250	16
1251	25
1252	28
1253	41
1254	44
1255	38
1256	60
1257	30
1258	51
1259	30
1260	85
1261	135
1262	65
1263	78
1264	90
1265	10
1266	135
1267	95
1268	35
1269	40
1270	60
1271	65
1272	92
1273	71
1274	160
1275	80
1276	20
1277	38
1278	88
1279	90
1280	35
1281	35
1282	30
1283	35
1284	10
1285	35
1286	45
1287	5
1288	40
1289	4
1290	40
1291	15
1292	21
1293	18
1294	10
1295	45
1296	17
1297	28
1298	15
1299	3
1300	55
1301	65
1302	60
1303	32
1304	6
1305	8
1306	50
1307	100
1308	60
1309	25
1310	10
1311	120
1312	185
1313	20
1314	5
1315	18
1316	18
1317	17
1318	355
1319	35
1320	50
1321	15
1322	13
1323	195
1324	30
1325	30
1326	9
1327	3
1328	50
1329	85
1330	40
1331	70
1332	130
1333	25
1334	100
1335	4
1336	7
1337	100
1338	435
1339	40
1340	75
1341	40
1342	30
1343	95
1344	115
1345	30
1346	55
1347	15
1348	18
1349	35
1350	50
1351	20
1352	5
1353	5
1354	70
1355	85
1356	50
1357	70
1358	70
1359	118
1360	15
1361	260
1362	160
1363	80
1364	40
1365	35
1366	30
1367	30
1368	40
1369	9
1370	55
1371	35
1372	10
1373	2
1374	18
1375	8
1376	95
1377	90
1378	50
1379	120
1380	40
1381	3
1382	15
1383	40
1384	180
1385	30
1386	125
1387	33
1388	45
1389	45
1390	20
1391	45
1392	60
1393	70
1394	20
1395	35
1396	55
1397	50
1398	35
1399	10
1400	30
1401	50
1402	68
1403	30
1404	30
1405	40
1406	50
1407	325
1408	55
1409	25
1410	35
1411	38
1412	70
1413	100
1414	100
1415	40
1416	175
1417	38
1418	15
1419	40
1420	50
1421	50
1422	5
1423	45
1424	4
1425	32
1426	24
1427	12
1428	45
1429	18
1430	28
1431	18
1432	10
1433	2
1434	50
1435	45
1436	55
1437	32
1438	6
1439	6
1440	45
1441	85
1442	52
1443	23
1444	10
1445	150
1446	180
1447	10
1448	63
1449	18
1450	16
1451	180
1452	32
1453	48
1454	14
1455	80
1456	28
1457	38
1458	28
1459	10
1460	2
1461	245
1462	65
1463	70
1464	32
1465	150
1466	110
1467	110
1468	3
1469	6
1470	7
1471	150
1472	20
1473	18
1474	100
1475	110
1476	280
1477	65
1478	80
1479	35
1480	90
1481	100
1482	100
1483	30
1484	65
1485	18
1486	20
1487	55
1488	10
1489	12
1490	18
1491	18
1492	5
1493	68
1494	45
1495	30
1496	25
1497	20
1498	65
1499	48
1500	14
1501	120
1502	30
1503	80
1504	45
1505	35
1506	30
1507	15
1508	40
1509	5
1510	60
1511	32
1512	10
1513	10
1514	5
1515	1
1516	3
1517	10
1518	75
1519	55
1520	85
1521	60
1522	110
1523	38
1524	20
1525	3
1526	15
1527	40
1528	38
1529	18
1530	42
1531	20
1532	58
1533	75
1534	18
1535	63
1536	100
1537	55
1538	32
1539	70
1540	8
1541	75
1542	85
1543	30
1544	40
1545	35
1546	35
1547	35
1548	48
1549	45
1550	75
1551	35
1552	80
1553	85
1554	48
1555	62
1556	35
1557	200
1558	245
1559	32
1560	30
1561	35
1562	15
1563	32
1564	48
1565	50
1566	5
1567	45
1568	4
1569	36
1570	25
1571	12
1572	46
1573	18
1574	30
1575	15
1576	15
1577	3
1578	80
1579	60
1580	58
1581	33
1582	7
1583	50
1584	100
1585	85
1586	27
1587	120
1588	10
1589	150
1590	70
1591	10
1592	10
1593	18
1594	17
1595	18
1596	90
1597	15
1598	44
1599	14
1600	15
1601	150
1602	30
1603	2
1604	180
1605	75
1606	35
1607	50
1608	90
1609	3
1610	6
1611	15
1612	120
1613	50
1614	60
1615	40
1616	35
1617	110
1618	110
1619	100
1620	20
1621	80
1622	18
1623	20
1624	30
1625	20
1626	4
1627	5
1628	70
1629	50
1630	40
1631	25
1632	15
1633	240
1634	32
1635	45
1636	50
1637	27
1638	30
1639	37
1640	9
1641	90
1642	40
1643	10
1644	18
1645	40
1646	8
1647	85
1648	55
1649	135
1650	40
1651	3
1652	15
1653	40
1654	220
1655	35
1656	1
1657	38
1658	20
1659	40
1660	20
1661	60
1662	35
1663	48
1664	68
1665	25
1666	80
1667	40
1668	75
1669	9
1670	9
1671	30
1672	100
1673	28
1674	28
1675	36
1676	220
1677	25
1678	88
1679	95
1680	45
1681	20
1682	225
1683	35
1684	55
1685	12
1686	38
