rowcode	last_month1
1	6550
2	2500
3	4500
4	1464
5	1693
6	1464
7	1687
8	1653
9	905
10	1464
11	1377
12	22
13	14
14	281
15	3510
16	135
17	378
18	64
19	108
20	1
21	2678
22	22
23	2600
24	2950
25	2800
26	4600
27	2
28	2
29	3
30	3
31	145
32	160
33	68
34	2531
35	3480
36	2555
37	15
38	45
39	25
40	45
41	40
42	35
43	90
44	115
45	675
46	815
47	410
48	160
49	785
50	410
51	305
52	255
53	410
54	205
55	350
56	305
57	701
58	750
59	285
60	576
61	250
62	575
63	35
64	150
65	280
66	125
67	475
68	1200
69	3500
70	1200
71	1000
72	4290
73	3290
74	7590
75	8090
76	3890
77	5690
78	5190
79	20900
80	1555
81	35
82	35
83	25
84	30
85	30
86	65
87	650
88	395
89	325
90	195
91	426
92	295
93	225
94	195
95	395
96	195
98	195
99	81
100	8350
101	9666
102	9288
103	20000
104	17980
105	10692
106	3456
107	22140
108	19440
109	1332
110	13400
111	18900
112	135
113	130
114	130
115	380
116	350
117	360
118	380
119	40
120	160
121	60
122	35
123	15
124	60
125	5
126	6
127	180
128	30
129	120
130	110
131	265
132	60
133	85
134	50
135	25
136	125
137	120
138	110
139	45
140	80
141	20
142	60
143	30
144	25
145	20
146	200
147	200
148	115
149	110
150	100
151	130
152	130
153	130
154	350
155	300
156	300
157	300
158	55
159	175
160	65
161	35
162	15
163	110
164	3
165	5
166	190
167	22
168	110
169	110
170	300
171	50
172	65
173	55
174	22
175	90
176	110
177	120
178	50
179	80
180	20
181	23
182	80
183	35
184	30
185	25
186	185
187	180
188	5
189	4
190	5
191	15
192	92
193	105
194	85
195	75
196	75
197	70
198	70
199	80
200	80
201	22
202	8
203	2950
204	10950
205	13950
206	12200
207	4550
208	3750
209	2990
210	4950
211	4950
212	2990
213	9950
214	10750
215	1350
216	1850
217	1650
218	2950
219	1250
220	2500
221	10950
222	195
223	195
224	145
225	95
226	120
227	35
228	195
229	75
230	55
231	55
232	22850
233	2950
234	5551
235	1888
236	2025
237	6780
238	2663
239	6675
240	16276
241	3684
242	7500
243	4459
244	6059
245	10468
246	335
247	395
248	285
249	265
250	245
251	165
252	295
253	115
254	295
255	195
256	40
257	68
258	90
259	135
260	62
261	5
262	5
263	25
264	42
265	48
