Island_code,Island_name,atoll_code
442,Maale,10
591,Hulhumale',10
268,Vilin'gili,10
987,HA.Baarah,20
568,HA.Dhidhdhoo,20
993,HA.Filladhoo,20
246,HA.Hoarafushi,20
908,HA.Ihavandhoo,20
563,HA.Kelaa,20
695,HA.Maarandhoo,20
901,HA.Mulhadhoo,20
701,HA.Muraidhoo,20
984,HA.Thakandhoo,20
915,HA.Thuraakunu,20
488,HA.Uligan,20
507,HA.Utheemu,20
232,HA.Vashafaru,20
227,HA.Mulidhoo,20
611,HA.Maafahi,20
458,HA.Alidhuffarufinolhu,20
983,HA.Maafinolhu,20
433,HA.Gaamathikulhudhoo,20
1033,HA.Alidhoo,20
528,HA.Berinmadhoo,20
880,HA.Medhafushi,20
862,HA.Velifinolhu,20
1155,HA.Naridhoo,20
548,HA.Manafaru,20
129,HA.Dhonakulhi,20
103,HA.Matheerah,20
1037,HA.Dhapparuhuraa,20
326,HA.Innafinolhu,20
1459,HA.Dhigufaruhuraa,20
824,HA.Maarandhoofarufinolhu,20
494,HA.Un'gulifinolhu,20
909,HA.Madulu,20
328,HA.Gallandhoo,20
1132,HA.Umuraifinolhu,20
593,HA.Van'gaaru,20
1097,HA.Huvahandhoo,20
801,HA.Govvaafushi,20
1189,HA.Hathifushi,20
408,HA.Beenaafushi,20
508,HA.Kan'daalifinolhu,20
441,HDh.Finey,21
235,HDh.Hanimaadhoo,21
199,HDh.Hirimaradhoo,21
48,HDh.Kulhudhuffushi,21
541,HDh.Kumundhoo,21
852,HDh.Kurin'bi,21
699,HDh.Makunudhoo,21
710,HDh.Naivaadhoo,21
698,HDh.Nellaidhoo,21
686,HDh.Neykurendhoo,21
658,HDh.Nolhivaran,21
416,HDh.Nolhivaranfaru,21
406,HDh.Vaikaradhoo,21
959,HDh.Hon'daidhoo,21
303,HDh.Theefaridhoo,21
370,HDh.Kattalafushi,21
489,HDh.Kudafarufasgandu,21
346,HDh.Kudamuraidhoo,21
663,HDh.Dhipparufushi,21
369,HDh.Naagoashi,21
1138,HDh.Vaikaramuraidhoo,21
1196,HDh.Muiri,21
1040,HDh.Kun'burudhoo,21
969,HDh.Keylakunu,21
47,HDh.Innafushi,21
1192,HDh.Hon'daafushi,21
858,HDh.Kanamana,21
1018,HDh.Faridhoo,21
708,HDh.Maavaidhoo,21
1126,HDh.Hirinaidhoo,21
882,HDh.Fenboahuraa,21
1064,Sh.Bileiyfahi,22
1149,Sh.Feevah,22
1100,Sh.Feydhoo,22
646,Sh.Foakaidhoo,22
863,Sh.Funadhoo,22
836,Sh.Goidhoo,22
1092,Sh.Kan'ditheemu,22
1058,Sh.Komandoo,22
978,Sh.Lhaimagu,22
16,Sh.Maaun'goodhoo,22
1144,Sh.Maroshi,22
525,Sh.Milandhoo,22
551,Sh.Narudhoo,22
985,Sh.Noomaraa,22
155,Sh.Ekasdhoo,22
248,Sh.Madidhoo,22
74,Sh.Medhukun'burudhoo,22
49,Sh.Firun'baidhoo,22
210,Sh.Madikuredhdhoo,22
306,Sh.Keekimini,22
491,Sh.Eriadhoo,22
317,Sh.Dhigurah,22
744,Sh.Nalandhoo,22
424,Sh.Kan'baalifaru,22
304,Sh.Kudalhaimendhoo,22
921,Sh.Hurasfaru,22
463,Sh.Raggan'duhuraa,22
562,Sh.Dholhiyadhoo,22
629,Sh.Fushifaru,22
485,Sh.Dhiguvelidhoomairah,22
655,Sh.Medhurah,22
1170,Sh.Naainfarufinolhu,22
266,Sh.Kakaaeriyadhoo,22
374,Sh.Farukolhu,22
131,Sh.Naalaahuraa,22
193,Sh.Bolissafaru,22
927,Sh.Gaakoshibi,22
674,Sh.Van'garu,22
818,Sh.Kudadhoo,22
90,Sh.Narurin'budhoo,22
465,Sh.Migoodhoo,22
285,Sh.Bis Alhaahuraa,22
647,Sh.Boduhuraa,22
923,Sh.Dholhiyadhookudarah,22
1159,Sh.Kudafarufinolhu,22
1169,Sh.Neyo,22
141,Sh.Maakan'doodhoo,22
480,Sh.Hirubadhoo,22
402,Sh.Mathikomandoo,22
854,Sh.Gallaidhoo,22
279,Sh.Dhonvelihuraa,22
332,N.Fodhdhoo,23
962,N.Hen'badhoo,23
1999,N.Holhudhoo,23
866,N.Ken'dhikulhudhoo,23
391,N.Kudafari,23
191,N.Landhoo,23
500,N.Lhohi,23
560,N.Maafaru,23
203,N.Maalhendhoo,23
907,N.Magoodhoo,23
392,N.Manadhoo,23
1068,N.Miladhoo,23
497,N.Velidhoo,23
1145,N.Ban'daidhihdhoo,23
944,N.Felivaru,23
421,N.Kuramaadhoo,23
559,N.Maavahdhoo,23
808,N.Bomasdhoo,23
871,N.Than'burudhoo,23
734,N.Maakurehdhoo,23
616,N.Kalaidhoo,23
650,N.Minaavaru,23
453,N.Maafunafaru,23
327,N.Karinmavattaru,23
271,N.Vavathi,23
2,N.Maavelavaru,23
639,N.Huvan'dhumaavattaru,23
409,N.Ehdhuffarumairah,23
620,N.Huivani,23
140,N.Kunnamalei,23
1125,N.Than'burudhuffushi,23
335,N.Ekulhivaru,23
767,N.Loafaru,23
284,N.Kudafushi,23
996,N.Raafushi,23
750,N.Thoshigan'dukolhu,23
387,N.Kedhivaru,23
123,N.Fohdhipparu,23
823,N.Bodulhaimendhoo,23
982,N.Kudafunafaru,23
169,N.Fushivelavaru,23
1052,N.Dhigurah,23
1086,N.Kuredhivaru,23
88,N.Medhufaru,23
249,N.Orivaru,23
1036,N.Medhafushi,23
1042,N.Randheli,23
1105,N.Dhekenanfaru,23
713,N.Bodufushi,23
213,N.Dheefuram,23
177,N.Farumuli,23
567,N.In'guraidhoo,23
91,N.Goan'bilivaadhoo,23
1499,N.Maakanaafushi,23
906,N.Hulhuhdhoo,23
121,N.Kafakomandoo,23
258,N.Burehifasdhoo,23
877,N.Kan'dinmaahuraa,23
979,N.Orimasvaru,23
795,N.Kaalhugemendhoo,23
619,N.Dhonaerikan'doodhoo,23
1083,N.Dhelibeyruhelhihuraa,23
696,N.Tholhendhoo,23
133,N.Karinma,23
92,N.Orivarukudarah,23
512,N.Raalhulaakolhu,23
281,R.An'golhitheemu,24
588,R.Alifushi,24
790,R.Dhuvaafaru,24
924,R.Fainu,24
600,R.Hulhudhuffaaru,24
1121,R.In'guraidhoo,24
564,R.Innamaadhoo,24
194,R.Kinolhas,24
180,R.Maakurathu,24
573,R.Maduvvari,24
605,R.Meedhoo,24
178,R.Rasgetheemu,24
423,R.Rasmaadhoo,24
1175,R.Un'goofaaru,24
609,R.Vaadhoo,24
509,R.Kandhoomeehunge Lhaan'bugali,24
496,R.Kudathulhaadhoo,24
872,R.Lhohi,24
580,R.Lin'boakandhoo,24
70,R.Un'gulu,24
840,R.Neyo,24
493,R.Dheburidheythereyvaadhoo,24
105,R.Gaaun'doodhoo,24
86,R.Boduhaiykodi,24
739,R.Bodufarufinolhu,24
218,R.Dhoragali,24
110,R.Kudakurathu,24
1120,R.Fenfushi,24
241,R.Lun'dhufushi,24
1063,R.Veyvah,24
163,R.Ufulandhoo,24
236,R.Fuggiri,24
961,R.Maanenfushi,24
1151,R.Gemana,24
661,R.Vilin'gili,24
914,R.Kan'doogan'du,24
295,R.Kuroshigiri,24
298,R.Ifuru,24
58,R.Furaveri,24
1016,R.Kudafushi,24
401,R.Muravandhoo,24
675,R.Maamunagau,24
477,R.Fasmendhoo,24
95,R.Meedhupparu,24
585,R.Huruvalhi,24
125,R.Faarufushi,24
43,R.Filaidhoo,24
97,R.Bodufushi,24
428,R.Uthurumaafaru,24
822,R.Kothaifaru,24
918,R.Dhigali,24
1127,R.Kottefaru,24
444,R.Aarah,24
746,R.Maamin'gili,24
434,R.Thaavathaa,24
800,R.Kan'dholhudhoo,24
231,R.Vaffushi,24
1122,R.Kukulhudhoo,24
632,R.Bodufenmaaen'boodhoo,24
315,R.Dhekunumaafarufinolhu,24
355,R.Goboshi,24
